Year,Sport,Event,Bronze,Silver,Gold
2008,Rowing,Rowing Men's Lightweight Double Sculls,Denmark,Greece,UK
2008,Rowing,Rowing Men's Quadruple Sculls,France,Italy,Poland
2008,Rowing,Rowing Men's Single Sculls,New Zealand,Czech Republic,Norway
2008,Rowing,Rowing Women's Coxed Eights,Romania,Netherlands,USA
2008,Rowing,Rowing Women's Coxless Pairs,Belarus,China,Romania
2008,Rowing,Rowing Women's Double Sculls,UK,Germany,New Zealand
2008,Rowing,Rowing Women's Lightweight Double Sculls,Canada,Finland,Netherlands
2008,Rowing,Rowing Women's Quadruple Sculls,Germany,UK,China
2008,Rowing,Rowing Women's Single Sculls,Belarus,USA,Bulgaria
2008,Sailing,Sailing Men's One Person Dinghy,Italy,Slovenia,UK
2008,Sailing,Sailing Men's Two Person Dinghy,France,UK,Australia
2008,Sailing,Sailing Men's Two Person Keelboat,Sweden,Brazil,UK
2008,Sailing,Sailing Men's Windsurfer,Israel,France,New Zealand
2008,Sailing,Sailing Mixed Multihull,Argentina,Australia,Spain
2008,Sailing,Sailing Mixed One Person Dinghy,France,USA,UK
2008,Sailing,Sailing Mixed Skiff,Germany,Spain,Denmark
2008,Sailing,Sailing Women's One Person Dinghy,China,Lithuania,USA
2008,Sailing,Sailing Women's Three Person Keelboat,Greece,Netherlands,UK
2008,Sailing,Sailing Women's Two Person Dinghy,Brazil,Netherlands,Australia
2008,Sailing,Sailing Women's Windsurfer,UK,Italy,China
2008,Shooting,"Shooting Men's Air Pistol, 10 metres",USA,South Korea,China
2008,Shooting,"Shooting Men's Air Rifle, 10 metres",Finland,China,India
2008,Shooting,Shooting Men's Double Trap,China,Italy,USA
2008,Shooting,"Shooting Men's Free Pistol, 50 metres",Russia,China,South Korea
2008,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Germany,Germany,Ukraine
2008,Shooting,Shooting Men's Skeet,France,Norway,USA
2008,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Australia,USA,Ukraine
2008,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Slovenia,Ukraine,China
2008,Shooting,Shooting Men's Trap,Russia,Italy,Czech Republic
2008,Shooting,"Shooting Women's Air Pistol, 10 metres",Georgia,Russia,China
2008,Shooting,"Shooting Women's Air Rifle, 10 metres",Croatia,Russia,Czech Republic
2008,Shooting,Shooting Women's Skeet,Germany,USA,Italy
2008,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Cuba,Czech Republic,China
2008,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Germany,Mongolia,China
2008,Shooting,Shooting Women's Trap,USA,Slovakia,Finland
2008,Softball,Softball Women's Softball,Australia,USA,Japan
2008,Swimming,"Swimming Men's 1,500 metres Freestyle",Canada,Australia,Tunisia
2008,Swimming,Swimming Men's 10 kilometres Open Water,Germany,UK,Netherlands
2008,Swimming,Swimming Men's 100 metres Backstroke,Australia,USA,USA
2008,Swimming,Swimming Men's 100 metres Breaststroke,France,Norway,Japan
2008,Swimming,Swimming Men's 100 metres Butterfly,Australia,Serbia,USA
2008,Swimming,Swimming Men's 100 metres Freestyle,Brazil,Australia,France
2008,Swimming,Swimming Men's 200 metres Backstroke,Russia,USA,USA
2008,Swimming,Swimming Men's 200 metres Breaststroke,France,Australia,Japan
2008,Swimming,Swimming Men's 200 metres Butterfly,Japan,Hungary,USA
2008,Swimming,Swimming Men's 200 metres Freestyle,USA,South Korea,USA
2008,Swimming,Swimming Men's 200 metres Individual Medley,USA,Hungary,USA
2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Australia,France,USA
2008,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Japan,Australia,USA
2008,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Australia,Russia,USA
2008,Swimming,Swimming Men's 400 metres Freestyle,USA,China,South Korea
2008,Swimming,Swimming Men's 400 metres Individual Medley,USA,Hungary,USA
2008,Swimming,Swimming Men's 50 metres Freestyle,France,France,Brazil
2008,Swimming,Swimming Women's 10 kilometres Open Water,UK,UK,Russia
2008,Swimming,Swimming Women's 100 metres Backstroke,USA,Zimbabwe,USA
2008,Swimming,Swimming Women's 100 metres Breaststroke,Austria,USA,Australia
2008,Swimming,Swimming Women's 100 metres Butterfly,Australia,USA,Australia
2008,Swimming,Swimming Women's 100 metres Freestyle,USA,Australia,Germany
2008,Swimming,Swimming Women's 200 metres Backstroke,Japan,USA,Zimbabwe
2008,Swimming,Swimming Women's 200 metres Breaststroke,Norway,Australia,USA
2008,Swimming,Swimming Women's 200 metres Butterfly,Australia,China,China
2008,Swimming,Swimming Women's 200 metres Freestyle,China,Slovenia,Italy
2008,Swimming,Swimming Women's 200 metres Individual Medley,USA,Zimbabwe,Australia
2008,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Australia,USA,Netherlands
2008,Swimming,Swimming Women's 4 x 100 metres Medley Relay,China,USA,Australia
2008,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,USA,China,Australia
2008,Swimming,Swimming Women's 400 metres Freestyle,UK,USA,UK
2008,Swimming,Swimming Women's 400 metres Individual Medley,USA,Zimbabwe,Australia
2008,Swimming,Swimming Women's 50 metres Freestyle,Australia,USA,Germany
2008,Swimming,Swimming Women's 800 metres Freestyle,Denmark,Italy,UK
2008,Synchronized Swimming,Synchronized Swimming Women's Duet,Japan,Spain,Russia
2008,Synchronized Swimming,Synchronized Swimming Women's Team,China,Spain,Russia
2008,Table Tennis,Table Tennis Men's Singles,China,China,China
2008,Table Tennis,Table Tennis Men's Team,South Korea,Germany,China
2008,Table Tennis,Table Tennis Women's Singles,China,China,China
2008,Table Tennis,Table Tennis Women's Team,South Korea,Data Missing,China
2008,Taekwondo,Taekwondo Men's Featherweight,Taiwan,USA,South Korea
2008,Taekwondo,Taekwondo Men's Flyweight,Afghanistan,Dominican Republic,Mexico
2008,Taekwondo,Taekwondo Men's Heavyweight,Kazakhstan,Greece,South Korea
2008,Taekwondo,Taekwondo Men's Welterweight,China,Italy,Iran
2008,Taekwondo,Taekwondo Women's Featherweight,Croatia,Turkey,South Korea
2008,Taekwondo,Taekwondo Women's Flyweight,Cuba,Thailand,China
2008,Taekwondo,Taekwondo Women's Heavyweight,Brazil,Norway,Mexico
2008,Taekwondo,Taekwondo Women's Welterweight,Croatia,Canada,South Korea
2008,Tennis,Tennis Men's Doubles,USA,Sweden,Switzerland
2008,Tennis,Tennis Men's Singles,Serbia,Chile,Spain
2008,Tennis,Tennis Women's Doubles,China,Spain,USA
2008,Tennis,Tennis Women's Singles,Russia,Russia,Russia
2008,Trampolining,Trampolining Men's Individual,China,Canada,China
2008,Trampolining,Trampolining Women's Individual,Uzbekistan,Canada,China
2008,Triathlon,Triathlon Men's Olympic Distance,New Zealand,Canada,Germany
2008,Triathlon,Triathlon Women's Olympic Distance,Australia,Portugal,Australia
2008,Volleyball,Volleyball Men's Volleyball,Russia,Brazil,USA
2008,Volleyball,Volleyball Women's Volleyball,China,USA,Brazil
2008,Water Polo,Water Polo Men's Water Polo,Serbia,USA,Hungary
2008,Water Polo,Water Polo Women's Water Polo,Australia,USA,Netherlands
2008,Weightlifting,Weightlifting Men's Bantamweight,Indonesia,Vietnam,China
2008,Weightlifting,Weightlifting Men's Featherweight,Indonesia,Colombia,China
2008,Weightlifting,Weightlifting Men's Heavyweight,Russia,Russia,Belarus
2008,Weightlifting,Weightlifting Men's Light-Heavyweight,Armenia,Belarus,China
2008,Weightlifting,Weightlifting Men's Lightweight,Armenia,France,China
2008,Weightlifting,Weightlifting Men's Middle-Heavyweight,Russia,Poland,Kazakhstan
2008,Weightlifting,Weightlifting Men's Middleweight,Armenia,China,South Korea
2008,Weightlifting,Weightlifting Men's Super-Heavyweight,Latvia,Russia,Germany
2008,Weightlifting,Weightlifting Women's Featherweight,Belarus,South Korea,Thailand
2008,Weightlifting,Weightlifting Women's Flyweight,Taiwan,Turkey,China
2008,Weightlifting,Weightlifting Women's Heavyweight,Russia,Kazakhstan,China
2008,Weightlifting,Weightlifting Women's Light-Heavyweight,Ukraine,Russia,China
2008,Weightlifting,Weightlifting Women's Lightweight,North Korea,Russia,China
2008,Weightlifting,Weightlifting Women's Middleweight,Taiwan,Kazakhstan,North Korea
2008,Weightlifting,Weightlifting Women's Super-Heavyweight,Kazakhstan,Ukraine,South Korea
2008,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bulgaria,Japan,USA
2008,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Armenia,Azerbaijan,Russia
2008,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Azerbaijan,Kazakhstan,Russia
2008,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Kazakhstan,Germany,Russia
2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Russia,Tajikistan,Georgia
2008,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Turkey,Hungary,Italy
2008,Wrestling,"Wrestling Men's Lightweight, Freestyle",Iran,Ukraine,Russia
2008,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Kazakhstan,Azerbaijan,Russia
2008,Wrestling,"Wrestling Men's Middleweight, Freestyle",Belarus,Uzbekistan,Russia
2008,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bulgaria,China,Georgia
2008,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Kazakhstan,Russia,Uzbekistan
2008,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Armenia,Russia,Cuba
2008,Wrestling,"Wrestling Men's Welterweight, Freestyle",Georgia,Ukraine,Turkey
2008,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Belarus,Kyrgyzstan,France
2008,Wrestling,"Wrestling Women's Flyweight, Freestyle",Azerbaijan,Japan,Canada
2008,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Japan,Bulgaria,China
2008,Wrestling,"Wrestling Women's Lightweight, Freestyle",Canada,China,Japan
2008,Wrestling,"Wrestling Women's Middleweight, Freestyle",Kazakhstan,Russia,Japan
2012,Archery,Archery Men's Individual,China,Japan,South Korea
2012,Archery,Archery Men's Team,South Korea,USA,Italy
2012,Archery,Archery Women's Individual,Mexico,Mexico,South Korea
2012,Archery,Archery Women's Team,Japan,China,South Korea
2012,Athletics,"Athletics Men's 1,500 metres",Morocco,USA,Algeria
2012,Athletics,"Athletics Men's 10,000 metres",Ethiopia,USA,UK
2012,Athletics,Athletics Men's 100 metres,USA,Jamaica,Jamaica
2012,Athletics,Athletics Men's 110 metres Hurdles,Jamaica,USA,USA
2012,Athletics,Athletics Men's 20 kilometres Walk,China,Guatemala,China
2012,Athletics,Athletics Men's 200 metres,Jamaica,Jamaica,Jamaica
2012,Athletics,"Athletics Men's 3,000 metres Steeplechase",Kenya,France,Kenya
2012,Athletics,Athletics Men's 4 x 100 metres Relay,France,Trinidad,Jamaica
2012,Athletics,Athletics Men's 4 x 400 metres Relay,Trinidad,USA,Bahamas
2012,Athletics,Athletics Men's 400 metres,Trinidad,Dominican Republic,Grenada
2012,Athletics,Athletics Men's 400 metres Hurdles,Puerto Rico,USA,Dominican Republic
2012,Athletics,"Athletics Men's 5,000 metres",Kenya,Ethiopia,UK
2012,Athletics,Athletics Men's 50 kilometres Walk,China,Australia,Russia
2012,Athletics,Athletics Men's 800 metres,Kenya,Botswana,Kenya
2012,Athletics,Athletics Men's Decathlon,Cuba,USA,USA
2012,Athletics,Athletics Men's Discus Throw,Estonia,Iran,Germany
2012,Athletics,Athletics Men's Hammer Throw,Japan,Slovenia,Hungary
2012,Athletics,Athletics Men's High Jump,Canada,USA,Russia
2012,Athletics,Athletics Men's Javelin Throw,Finland,Ukraine,Trinidad
2012,Athletics,Athletics Men's Long Jump,USA,Australia,UK
2012,Athletics,Athletics Men's Marathon,Kenya,Kenya,Uganda
2012,Athletics,Athletics Men's Pole Vault,Germany,Germany,France
2012,Athletics,Athletics Men's Shot Put,USA,Germany,Poland
2012,Athletics,Athletics Men's Triple Jump,Italy,USA,USA
2012,Athletics,"Athletics Women's 1,500 metres",Bahrain,Turkey,Turkey
2012,Athletics,"Athletics Women's 10,000 metres",Kenya,Kenya,Ethiopia
2012,Athletics,Athletics Women's 100 metres,Jamaica,USA,Jamaica
2012,Athletics,Athletics Women's 100 metres Hurdles,USA,USA,Australia
2012,Athletics,Athletics Women's 20 kilometres Walk,China,Russia,Russia
2012,Athletics,Athletics Women's 200 metres,USA,Jamaica,USA
2012,Athletics,"Athletics Women's 3,000 metres Steeplechase",Ethiopia,Tunisia,Russia
2012,Athletics,Athletics Women's 4 x 100 metres Relay,Ukraine,Jamaica,USA
2012,Athletics,Athletics Women's 4 x 400 metres Relay,Jamaica,Russia,USA
2012,Athletics,Athletics Women's 400 metres,USA,UK,USA
2012,Athletics,Athletics Women's 400 metres Hurdles,Czech Republic,USA,Russia
2012,Athletics,"Athletics Women's 5,000 metres",Ethiopia,Kenya,Ethiopia
2012,Athletics,Athletics Women's 800 metres,Russia,South Africa,Russia
2012,Athletics,Athletics Women's Discus Throw,China,Russia,Croatia
2012,Athletics,Athletics Women's Hammer Throw,Germany,Poland,Russia
2012,Athletics,Athletics Women's Heptathlon,Russia,Germany,UK
2012,Athletics,Athletics Women's High Jump,Russia,USA,Russia
2012,Athletics,Athletics Women's Javelin Throw,Germany,Germany,Czech Republic
2012,Athletics,Athletics Women's Long Jump,USA,Russia,USA
2012,Athletics,Athletics Women's Marathon,Russia,Kenya,Ethiopia
2012,Athletics,Athletics Women's Pole Vault,Russia,Cuba,USA
2012,Athletics,Athletics Women's Shot Put,China,Russia,New Zealand
2012,Athletics,Athletics Women's Triple Jump,Ukraine,Colombia,Kazakhstan
2012,Badminton,Badminton Men's Doubles,South Korea,Denmark,China
2012,Badminton,Badminton Men's Singles,China,Malaysia,China
2012,Badminton,Badminton Mixed Doubles,Denmark,China,China
2012,Badminton,Badminton Women's Doubles,Russia,Japan,China
2012,Badminton,Badminton Women's Singles,India,China,China
2012,Basketball,Basketball Men's Basketball,Russia,Spain,USA
2012,Basketball,Basketball Women's Basketball,Australia,France,USA
2012,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Latvia,Brazil,Germany
2012,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Brazil,USA,USA
2012,Boxing,Boxing Men's Bantamweight,Cuba,Ireland,UK
2012,Boxing,Boxing Men's Flyweight,Ireland,Mongolia,Cuba
2012,Boxing,Boxing Men's Heavyweight,Azerbaijan,Italy,Ukraine
2012,Boxing,Boxing Men's Light-Flyweight,Ireland,Thailand,China
2012,Boxing,Boxing Men's Light-Heavyweight,Brazil,Kazakhstan,Russia
2012,Boxing,Boxing Men's Light-Welterweight,Italy,Ukraine,Cuba
2012,Boxing,Boxing Men's Lightweight,Cuba,South Korea,Ukraine
2012,Boxing,Boxing Men's Middleweight,UK,Brazil,Japan
2012,Boxing,Boxing Men's Super-Heavyweight,Azerbaijan,Italy,UK
2012,Boxing,Boxing Men's Welterweight,Russia,UK,Kazakhstan
2012,Boxing,Boxing Women's Flyweight,India,China,UK
2012,Boxing,Boxing Women's Lightweight,Brazil,Russia,Ireland
2012,Boxing,Boxing Women's Middleweight,China,Russia,USA
2012,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Russia,Belarus,Germany
2012,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Slovakia,UK,UK
2012,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Canada,Spain,Germany
2012,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Russia,Lithuania,Ukraine
2012,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Slovakia,Germany,France
2012,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Germany,Portugal,Hungary
2012,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",UK,Belarus,Russia
2012,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Czech Republic,Hungary,Australia
2012,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Germany,Canada,Norway
2012,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Canada,Spain,UK
2012,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Germany,Czech Republic,Italy
2012,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Poland,Hungary,Germany
2012,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Belarus,Germany,Hungary
2012,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Hungary,Ukraine,New Zealand
2012,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",South Africa,Ukraine,Hungary
2012,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Spain,Australia,France
2012,Cycling,Cycling Men's BMX,Colombia,Australia,Latvia
2012,Cycling,Cycling Men's Individual Time Trial,UK,Germany,UK
2012,Cycling,Cycling Men's Keirin,Netherlands,Germany,UK
2012,Cycling,"Cycling Men's Mountainbike, Cross-Country",Italy,Switzerland,Czech Republic
2012,Cycling,Cycling Men's Omnium,UK,France,Denmark
2012,Cycling,"Cycling Men's Road Race, Individual",Norway,Colombia,Kazakhstan
2012,Cycling,Cycling Men's Sprint,Australia,France,UK
2012,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",New Zealand,Australia,UK
2012,Cycling,Cycling Men's Team Sprint,Germany,France,UK
2012,Cycling,Cycling Women's BMX,Netherlands,New Zealand,Colombia
2012,Cycling,Cycling Women's Individual Time Trial,Russia,Germany,USA
2012,Cycling,Cycling Women's Keirin,China,China,UK
2012,Cycling,"Cycling Women's Mountainbike, Cross-Country",USA,Germany,France
2012,Cycling,Cycling Women's Omnium,Australia,USA,UK
2012,Cycling,"Cycling Women's Road Race, Individual",Russia,UK,Netherlands
2012,Cycling,Cycling Women's Sprint,China,UK,Australia
2012,Cycling,Cycling Women's Team Pursuit,Canada,USA,UK
2012,Cycling,Cycling Women's Team Sprint,Australia,China,Germany
2012,Diving,Diving Men's Platform,UK,China,USA
2012,Diving,Diving Men's Springboard,China,China,Russia
2012,Diving,Diving Men's Synchronized Platform,USA,Mexico,China
2012,Diving,Diving Men's Synchronized Springboard,USA,Russia,China
2012,Diving,Diving Women's Platform,Malaysia,Australia,China
2012,Diving,Diving Women's Springboard,Mexico,China,China
2012,Diving,Diving Women's Synchronized Platform,Canada,Mexico,China
2012,Diving,Diving Women's Synchronized Springboard,Canada,USA,China
2012,Equestrianism,"Equestrianism Mixed Dressage, Individual",UK,Netherlands,UK
2012,Equestrianism,"Equestrianism Mixed Dressage, Team",Netherlands,Germany,UK
2012,Equestrianism,"Equestrianism Mixed Jumping, Individual",Ireland,Netherlands,Switzerland
2012,Equestrianism,"Equestrianism Mixed Jumping, Team",Saudi Arabia,Netherlands,UK
2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Germany,Sweden,Germany
2012,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",New Zealand,UK,Germany
2012,Fencing,"Fencing Men's Foil, Individual",South Korea,Egypt,China
2012,Fencing,"Fencing Men's Foil, Team",Germany,Japan,Italy
2012,Fencing,"Fencing Men's Sabre, Individual",Russia,Italy,Hungary
2012,Fencing,"Fencing Men's Sabre, Team",Italy,Romania,South Korea
2012,Fencing,"Fencing Men's epee, Individual",South Korea,Norway,Venezuela
2012,Fencing,"Fencing Women's Foil, Individual",Italy,Italy,Italy
2012,Fencing,"Fencing Women's Foil, Team",South Korea,Russia,Italy
2012,Fencing,"Fencing Women's Sabre, Individual",Ukraine,Russia,South Korea
2012,Fencing,"Fencing Women's epee, Individual",China,Germany,Ukraine
2012,Fencing,"Fencing Women's epee, Team",USA,South Korea,China
2012,Football,Football Men's Football,South Korea,Brazil,Mexico
2012,Football,Football Women's Football,Canada,Japan,USA
2012,Gymnastics,Gymnastics Men's Floor Exercise,Russia,Japan,China
2012,Gymnastics,Gymnastics Men's Horizontal Bar,China,Germany,Netherlands
2012,Gymnastics,Gymnastics Men's Horse Vault,Ukraine,Russia,South Korea
2012,Gymnastics,Gymnastics Men's Individual All-Around,USA,Germany,Japan
2012,Gymnastics,Gymnastics Men's Parallel Bars,France,Germany,China
2012,Gymnastics,Gymnastics Men's Pommelled Horse,UK,UK,Hungary
2012,Gymnastics,Gymnastics Men's Rings,Italy,China,Brazil
2012,Gymnastics,Gymnastics Men's Team All-Around,UK,Japan,China
2012,Gymnastics,Gymnastics Women's Balance Beam,USA,China,China
2012,Gymnastics,Gymnastics Women's Floor Exercise,Russia,Romania,USA
2012,Gymnastics,Gymnastics Women's Horse Vault,Russia,USA,Romania
2012,Gymnastics,Gymnastics Women's Individual All-Around,Russia,Russia,USA
2012,Gymnastics,Gymnastics Women's Team All-Around,Romania,Russia,USA
2012,Gymnastics,Gymnastics Women's Uneven Bars,UK,China,Russia
2012,Handball,Handball Men's Handball,Croatia,Sweden,France
2012,Handball,Handball Women's Handball,Spain,Montenegro,Norway
2012,Hockey,Hockey Men's Hockey,Australia,Netherlands,Germany
2012,Hockey,Hockey Women's Hockey,UK,Argentina,Netherlands
2012,Judo,Judo Men's Extra-Lightweight,Brazil,Japan,Russia
2012,Judo,Judo Men's Half-Heavyweight,Germany,Mongolia,Russia
2012,Judo,Judo Men's Half-Lightweight,Japan,Hungary,Georgia
2012,Judo,Judo Men's Half-Middleweight,Canada,Germany,South Korea
2012,Judo,Judo Men's Heavyweight,Brazil,Russia,France
2012,Judo,Judo Men's Lightweight,France,Japan,Russia
2012,Judo,Judo Men's Middleweight,Greece,Cuba,South Korea
2012,Judo,Judo Women's Extra-Lightweight,Belgium,Romania,Brazil
2012,Judo,Judo Women's Half-Heavyweight,Brazil,UK,USA
2012,Judo,Judo Women's Half-Lightweight,France,Cuba,North Korea
2012,Judo,Judo Women's Half-Middleweight,France,China,Slovenia
2012,Judo,Judo Women's Heavyweight,China,Japan,Cuba
2012,Judo,Judo Women's Lightweight,France,Romania,Japan
2012,Judo,Judo Women's Middleweight,Colombia,Germany,France
2012,Modern Pentathlon,Modern Pentathlon Men's Individual,Hungary,China,Czech Republic
2012,Modern Pentathlon,Modern Pentathlon Women's Individual,Brazil,UK,Lithuania
2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Italy,Belarus,Russia
2012,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Belarus,Russia,Russia
2012,Rowing,Rowing Men's Coxed Eights,UK,Canada,Germany
2012,Rowing,Rowing Men's Coxless Fours,USA,Australia,UK
2012,Rowing,Rowing Men's Coxless Pairs,UK,France,New Zealand
2012,Rowing,Rowing Men's Double Sculls,Slovenia,Italy,New Zealand
2012,Rowing,Rowing Men's Lightweight Coxless Fours,Denmark,UK,South Africa
2012,Rowing,Rowing Men's Lightweight Double Sculls,New Zealand,UK,Denmark
2012,Rowing,Rowing Men's Quadruple Sculls,Australia,Croatia,Germany
2012,Rowing,Rowing Men's Single Sculls,UK,Czech Republic,New Zealand
2012,Rowing,Rowing Women's Coxed Eights,Netherlands,Canada,USA
2012,Rowing,Rowing Women's Coxless Pairs,New Zealand,Australia,UK
2012,Rowing,Rowing Women's Double Sculls,Poland,Australia,UK
2012,Rowing,Rowing Women's Lightweight Double Sculls,Greece,China,UK
2012,Rowing,Rowing Women's Quadruple Sculls,USA,Germany,Ukraine
2012,Rowing,Rowing Women's Single Sculls,Australia,Denmark,Czech Republic
2012,Sailing,Sailing Men's One Person Dinghy,Sweden,Cyprus,Australia
2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,France,Denmark,UK
2012,Sailing,Sailing Men's Skiff,Denmark,New Zealand,Australia
2012,Sailing,Sailing Men's Two Person Dinghy,Argentina,UK,Australia
2012,Sailing,Sailing Men's Two Person Keelboat,Brazil,UK,Sweden
2012,Sailing,Sailing Men's Windsurfer,Poland,UK,Netherlands
2012,Sailing,Sailing Women's One Person Dinghy,Belgium,Netherlands,China
2012,Sailing,Sailing Women's Three Person Keelboat,Finland,Australia,Spain
2012,Sailing,Sailing Women's Two Person Dinghy,Netherlands,UK,New Zealand
2012,Sailing,Sailing Women's Windsurfer,Poland,Finland,Spain
2012,Shooting,"Shooting Men's Air Pistol, 10 metres",Serbia,Italy,South Korea
2012,Shooting,"Shooting Men's Air Rifle, 10 metres",India,Italy,Romania
2012,Shooting,Shooting Men's Double Trap,Russia,Sweden,UK
2012,Shooting,"Shooting Men's Free Pistol, 50 metres",China,South Korea,South Korea
2012,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",China,India,Cuba
2012,Shooting,Shooting Men's Skeet,Qatar,Denmark,USA
2012,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Slovenia,Belgium,Belarus
2012,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",USA,South Korea,Italy
2012,Shooting,Shooting Men's Trap,Kuwait,Italy,Croatia
2012,Shooting,"Shooting Women's Air Pistol, 10 metres",Ukraine,France,China
2012,Shooting,"Shooting Women's Air Rifle, 10 metres",China,Poland,China
2012,Shooting,Shooting Women's Skeet,Slovakia,China,USA
2012,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Czech Republic,Serbia,USA
2012,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Ukraine,China,South Korea
2012,Shooting,Shooting Women's Trap,France,Slovakia,Italy
2012,Swimming,"Swimming Men's 1,500 metres Freestyle",Tunisia,Canada,China
2012,Swimming,Swimming Men's 10 kilometres Open Water,Canada,Germany,Tunisia
2012,Swimming,Swimming Men's 100 metres Backstroke,Japan,USA,USA
2012,Swimming,Swimming Men's 100 metres Breaststroke,USA,Australia,South Africa
2012,Swimming,Swimming Men's 100 metres Butterfly,Data Missing,South Africa,USA
2012,Swimming,Swimming Men's 100 metres Freestyle,Canada,Australia,USA
2012,Swimming,Swimming Men's 200 metres Backstroke,USA,Japan,USA
2012,Swimming,Swimming Men's 200 metres Breaststroke,Japan,UK,Hungary
2012,Swimming,Swimming Men's 200 metres Butterfly,Japan,USA,South Africa
2012,Swimming,Swimming Men's 200 metres Freestyle,Data Missing,China,France
2012,Swimming,Swimming Men's 200 metres Individual Medley,Hungary,USA,USA
2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Russia,USA,France
2012,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Australia,Japan,USA
2012,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,China,France,USA
2012,Swimming,Swimming Men's 400 metres Freestyle,USA,South Korea,China
2012,Swimming,Swimming Men's 400 metres Individual Medley,Japan,Brazil,USA
2012,Swimming,Swimming Men's 50 metres Freestyle,Brazil,USA,France
2012,Swimming,Swimming Women's 10 kilometres Open Water,Italy,USA,Hungary
2012,Swimming,Swimming Women's 100 metres Backstroke,Japan,Australia,USA
2012,Swimming,Swimming Women's 100 metres Breaststroke,Japan,USA,Lithuania
2012,Swimming,Swimming Women's 100 metres Butterfly,Australia,China,USA
2012,Swimming,Swimming Women's 100 metres Freestyle,China,Belarus,Netherlands
2012,Swimming,Swimming Women's 200 metres Backstroke,USA,Russia,USA
2012,Swimming,Swimming Women's 200 metres Breaststroke,Russia,Japan,USA
2012,Swimming,Swimming Women's 200 metres Butterfly,Japan,Spain,China
2012,Swimming,Swimming Women's 200 metres Freestyle,Australia,France,USA
2012,Swimming,Swimming Women's 200 metres Individual Medley,USA,Australia,China
2012,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,USA,Netherlands,Australia
2012,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Japan,Australia,USA
2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,France,Australia,USA
2012,Swimming,Swimming Women's 400 metres Freestyle,UK,USA,France
2012,Swimming,Swimming Women's 400 metres Individual Medley,China,USA,China
